code,title,credits,description,prerequisites
LMC 3225,Gender Studies in the Disciplines,3,"This course explores the concept of gender and its usefulness as a theoretical category in a variety of disciplines. It includes cultural studies of literature, communication media, cultural anthropology, sociology, history, and science.",
LMC 3226,Major Authors,3,An examination of the works and career of a major author in historical and cultural context.,
LMC 3228,Shakespeare,3,"An examination of Shakespeare's works with attention to generic conventions, historical context, and the relationship of text and performance. Major works of Shakespeare's contemporaries are studied as appropriate.",
LMC 3234,Creative Writing,3,"This course explores a range of creative literary genres, and combines study and analysis of existing modes of one or more forms in order to establish a basis for original creative work by class members.",
LMC 3236,Writing for the Stage and Screen,3,"Basic principles of generating creative concepts, dramatic structure, character and dialogue development, and formatting for stage and screenplays.",
LMC 3252,Studies in Film and Television,3,"Explores in depth a theoretical issue central to film and/or television. Among its concerns are authorship, genre history, spectatorship, ideology, narrative theory, and the relationship between these media and social history.",
LMC 3252R,LMC 3252 Recitation,0,Film Screening for Studies in Film & Television.,
LMC 3253,Animation,3,"This course examines animation from its earliest days as a ""cinema of attractions' to its current development as a predominantly digital practice.",
LMC 3253R,LMC 3253 Recitation,0,Film Screening for Animation.,
LMC 3254,Film History,3,"Surveys the history of film from its machine origins to its present digital developments. It focuses on various movements, figures, and narrative developments in world cinema.",
LMC 3254R,LMC 3254 Recitation,0,Film Screening for Film History.,
LMC 3255,Cinema and Digital Culture,3,This course examines the impact of digital technologies on contemporary cinema as well as the influence of different cinematic traditions on new digital media.,
LMC 3255R,LMC 3255 Recitation,0,Film Screening for Cinema and Digital Culture.,
LMC 3256,Major Filmmakers,3,Traces in depth an individual artist's career and affords students the opportunity to immerse themselves in the works of an important figure in the world of film.,
LMC 3256R,LMC 3256 Recitation,0,Film Screening for Major Filmmakers.,
LMC 3257,Global Cinema,3,"This course examines selected movements, styles, and trends in world cinema, emphasizing how contemporary film's global nature affects cultural representation.",
LMC 3257R,LMC 3257 Recitation,0,Film Screening for Global Cinema.,
LMC 3258,Documentary Film,3,"This course examines significant movements, styles, and trends in fact-based film, emphasizing its cultural implications and formal strategies.",
LMC 3258R,LMC 3258 Recitation,0,Film Screening for Documentary Film.,
LMC 3259,Experimental Film,3,"This course examines the history and trends in experimental film and video, emphasizing the relationship to avant-garde art movements.",
LMC 3259R,LMC 3259 Recitation,0,Experimental Film—Recitation.,
LMC 3262,Performance Studies,3,An examination of cultural theories of performance and their application to the analysis of specific performative events.,
LMC 3263,"Music, Culture, and Society",3,"Origins and development of contemporary popular music, including rock, trap, hip-hop, and other emerging and established forms.",
LMC 3302,"Science, Technology, and Ideology",3,"Examines specific scientific, philosophical, and literary/cultural texts in order to determine the role ideology plays in the construction of culture, especially scientific and technological culture.",
LMC 3304,"Science, Technology, and Gender",3,"Examines specific philosophical, scientific, and cultural texts to determine the role that gender has played in the scientific and technological knowledge, currently and historically.",
LMC 3306,"Science, Technology, and Race",3,"Examines specific historical and contemporary construction of race, within the prevailing scientific theories and ideologies in order to determine the role played by ""race"" in scientific and technological culture.",
LMC 3308,Environmentalism and Ecocriticism,3,Surveys the emergence of ecocriticism as an analytical framework for interpreting the verbal and visual rhetorics of environmentalism in both western and nonwestern cultures.,
LMC 3310,The Rhetoric of Scientific Inquiry,3,This course takes as its subject the ways in which argumentative and persuasive discourse is used to create and disseminate scientific knowledge.,
LMC 3314,Technologies of Representation,3,"Explores historical, cultural, and theoretical issues related by technologies of representation, including written, spoken, and gestural languages; print, painting and illustration; still and moving photography; recorded sound; and computer mediated communications and interactive digital media.",
